## data on insect communities, either initial or final_				
## experimentally homogenized communities are in				
##      homogenized_communities_txt				
## variables:				
## sampling =  'initial' --  observed from wild plants in the				
## field_  Or 'final', meaning after 12 days in experiment_				
## or 'homogenized', meaning the starting  community for the block				
## bromeliad = unique code for each plant OR the experimental block in which six plants were placed				
## spp = species name for each macroinvertebrate				
## abundance = number of macroinverts found				
sampling	bromeliad	spp	abundance	
initial	A13	culicid	2	
initial	A12	ostra	8	
initial	A12	oligo	5	
initial	A12	forcipomyia	1	
initial	A12	culicid	1	
initial	A12	tipulidae	1	
initial	N9	oligo	38	
initial	N9	culicid	6	
initial	N9	scirtid	18	
initial	N9	tipulidae	1	
initial	N12	oligo	11	
initial	N12	culicid	3	
initial	N12	scirtid	20	
initial	N12	lampyridae	1	
initial	N13	Chiro	1	
initial	N13	ostra	1	
initial	N13	oligo	37	
initial	N13	Leptagrion	1	
initial	N13	culicid	3	
initial	N13	scirtid	3	
initial	N13	tipulidae	1	
initial	N11	Chiro	1	
initial	N11	oligo	47	
initial	N11	culicid	2	
initial	N11	scirtid	2	
initial	N11	tipulidae	1	
initial	N11	lampyridae	1	
initial	N10	oligo	2	
initial	N10	scirtid	2	
initial	N10	tipulidae	2	
initial	A16	oligo	9	
initial	A16	Leptagrion	1	
initial	A16	forcipomyia	9	
initial	A16	culicid	1	
initial	A16	tipulidae	2	
initial	A14	Chiro	2	
initial	A14	oligo	13	
initial	A14	Leptagrion	1	
initial	A14	forcipomyia	1	
initial	A14	scirtid	1	
initial	A15	oligo	4	
initial	A15	forcipomyia	1	
initial	A15	tipulidae	1	
final	P6	oligo	29	
final	P6	scirtid	7	
final	P6	Leptagrion	3	#one very small
final	P6	culicid	12	
final	P6	forcipomyia	11	
final	P6	ostra	1	
final	P1	forcipomyia	25	
final	P1	tipulidae	1	
final	P1	oligo	46	
final	P1	scirtid	1	
final	P1	ostra	17	
final	P1	Chiro	1	
final	P11	Leptagrion	1	
final	P11	tipulidae	2	
final	P11	scirtid	2	
final	P11	oligo	155	
final	P11	forcipomyia	14	
final	P3	Leptagrion	1	
final	P3	culicid	7	
final	P3	oligo	51	
final	P3	scirtid	4	
final	P3	forcipomyia	8	
final	P3	Chiro	1	
final	P5	scirtid	7	
final	P5	tipulidae	2	
final	P5	Leptagrion	1	
final	P5	oligo	76	
final	P5	Chiro	2	
final	P5	culicid	2	
final	P5	forcipomyia	1	
final	P12	Syrphid	1	
final	P12	oligo	57	
final	P12	culicid	1	
final	P12	scirtid	1	
final	P12	Chiro	2	
final	P12	tipulidae	1	
final	P10	oligo	23	
final	P10	Leptagrion	2	
final	P10	culicid	2	
final	P4	oligo	28	
final	P4	tipulidae	1	
final	P4	culicid	1	
final	N5	oligo	285	# dead forcip, dead leptagrion fragments
final	N5	Leptagrion	1	
final	N5	Chiro	2	
final	N5	tipulidae	3	
final	N5	psychodid	1	
final	N5	ostra	6	
final	N5	culicid	1	
final	N5	forcipomyia	8	
final	N1	oligo	25	
final	N1	Leptagrion	1	
final	V10	ceratopogonid	3	
final	V10	oligo	28	
final	V10	ostra	8	
final	V10	forcipomyia	39	
final	V10	ephydridae	3	
final	V10	Chiro	22	
final	V3	empididae	3	
final	V3	oligo	20	
final	V3	scirtid	1	
final	V3	forcipomyia	1	
final	A6	oligo	32	
final	A6	Chiro	12	
final	A6	scirtid	5	
final	A5	Chiro	3	
final	A5	tipulidae	1	
final	A5	oligo	35	
final	A5	scirtid	10	
final	A5	Leptagrion	1	
final	A5	ostra	4	
final	A5	corethrella	1	
final	A5	dytiscid_small	1	
final	A5	forcipomyia	1	
final	N2	Chiro	5	
final	N2	tipulidae	4	
final	N2	oligo	18	
final	N2	monopelopia	1	
final	N2	culicid	1	
final	N2	scirtid	3	
final	N2	Leptagrion	1	
final	V8	oligo	27	
final	V8	elp	135	
final	V8	Chiro	20	
final	V8	Leptagrion	1	
final	V8	culicid	3	
final	V8	Tabanid	1	
final	V8	psychodid	2	
final	V8	scirtid	22	
final	A8	oligo	33	
final	A8	psychodid	3	
final	A8	scirtid	6	
final	A8	Chiro	2	
final	A8	forcipomyia	8	
final	A8	Leptagrion	1	
final	A7	Chiro	2	
final	A7	psychodid	1	
final	A7	ostra	53	
final	A7	oligo	12	
final	A7	Leptagrion	1	
final	A7	scirtid	3	
final	A7	tipulidae	1	
final	V4	ostra	12	
final	V4	Chiro	4	
final	V4	tipulidae	5	
final	V4	scirtid	1	
final	V4	empididae	4	
final	V4	Leptagrion	1	
final	V4	forcipomyia	3	
final	N6	oligo	95	
final	N6	monopelopia	1	
final	N6	scirtid	7	
final	N6	Chiro	1	
final	N6	Leptagrion	1	
final	A9	Chiro	3	
final	A9	culicid	3	
final	A9	psychodid	2	
final	A9	forcipomyia	66	
final	A9	pupa_forcip	2	
final	A9	oligo	31	
final	A9	ostra	6	
final	A9	scirtid	7	
final	A11	forcipomyia	16	
final	A11	culicid	2	
final	A11	leptagrion	1	
final	A11	oligo	19	
final	A11	ephydridae	1	
final	N8	oligo	100	
final	N8	culicid	1	
final	N8	scirtid	13	
final	N8	Leptagrion	1	
final	N8	Lampyridae	1	
final	N7	oligo	133	
final	N7	scirtid	82	
final	N7	Tabanid	1	
final	N7	Chiro	2	
final	N7	Leptagrion	1	
final	N7	forcipomyia	2	
final	V9	Chiro	20	
final	V9	culicid	1	
final	V9	corethrella	1	
final	V9	monopelopia	1	
final	V9	ostra	39	
final	V9	forcipomyia	8	
final	V9	scirtid	11	
final	V9	ephydridae	2	
final	V9	oligo	15	
final	V9	Leptagrion	1	
final	V6	oligo	22	
final	V6	scirtid	5	
final	V6	culex	3	
final	V6	Chiro	7	
final	V6	forcipomyia	2	
final	V6	ephydridae	1	
final	A13	ostra	18	
final	A13	oligo	11	
final	A13	tipulidae	3	
final	A13	atrichopogon	4	
final	A13	culicid	1	
final	A12	oligo	33	
final	A12	forcipomyia	9	
final	A12	tipulidae	5	
final	A12	psychodid	3	
final	A12	scirtid	2	
final	A12	ostra	10	
final	V11	forcipomyia	26	
final	V11	ceratopogonid	1	
final	V11	culicid	3	
final	V11	Diptera	5	
final	V11	scirtid	2	
final	V11	oligo	15	
final	V11	monopelopia	1	
final	V11	ostra	1	
final	N11	oligo	275	
final	N11	scirtid	15	
final	N11	tipulidae	1	
final	N11	forcipomyia	2	
final	N11	culex	2	
final	N9	ostra	1	
final	N9	oligo	33	
final	N9	atrichopogon	1	
final	N9	pupa_ceratopogonid	1	
final	N9	monopelopia	1	
final	N9	tabanid	1	
final	N9	ceratopogonid	1	
final	N9	psychodid	1	
final	N9	scirtid	5	
final	N9	diptera	4	
final	V2	tipulidae	6	
final	V2	forcipomyia	31	
final	V2	corethrella	1	
final	V2	oligo	10	
final	V2	elpidium	2	
