## Sp = code name for species / morphospecies,,,,,,,,
## sp.number = a code for the individual within the trial,,,,,,,,
## individual name = a concatenation of the previous two columns, which identifies the individual **within each trial**,,,,,,,,
## trial.name = code from the "trials" dataframe, which matches the trial to information such as the date, temperature etc,,,,,,,,
## Body = length of body (mm).  Present for all individuals,,,,,,,,
## tail = length of tail (mm).  Lept only,,,,,,,,
## date.capture = when did we catch the animal?,,,,,,,,
## time.of.death = how many minutes into the trial the animal finally died.  ,,,,,,,,
## trial.time = a concatenation of "trial.name"."time.of.death"  which gives the time of death within the trial. Used for matching within 'temperatures' to get the temp.,,,,,,,,
Sp,sp.number,individual.name,trial.name,body,tail,date.capture,time.of.death,trial.time
polypedium sp.1,18,polypedium sp.1.18,poly1(2).12.apr,2.79,,,20,poly1(2).12.apr.20
polypedium sp.1,19,polypedium sp.1.19,poly1(2).12.apr,5.36,,,21,poly1(2).12.apr.21
polypedium sp.1,20,polypedium sp.1.20,poly1(2).12.apr,6.24,,,10,poly1(2).12.apr.10
polypedium sp.1,21,polypedium sp.1.21,poly1(3).12.apr,5.07,,,17,poly1(3).12.apr.17
polypedium sp.1,22,polypedium sp.1.22,poly1(3).12.apr,4.8,,,18,poly1(3).12.apr.18
polypedium sp.1,23,polypedium sp.1.23,poly1(3).12.apr,5.37,,,17,poly1(3).12.apr.17
polypedium sp.1,24,polypedium sp.1.24,poly1(3).12.apr,3.5,,,17,poly1(3).12.apr.17
polypedium sp.1,25,polypedium sp.1.25,poly1(3).12.apr,5.46,,,17,poly1(3).12.apr.17
polypedium sp.1,26,polypedium sp.1.26,poly1(3).12.apr,4.75,,,17,poly1(3).12.apr.17
polypedium sp.1,27,polypedium sp.1.27,poly1(3).12.apr,6.33,,,18,poly1(3).12.apr.18
polypedium sp.1,28,polypedium sp.1.28,poly1(3).12.apr,5.08,,,20,poly1(3).12.apr.20
polypedium sp.1,29,polypedium sp.1.29,poly1(3).12.apr,3.18,,,28,poly1(3).12.apr.28
polypedium sp.1,30,polypedium sp.1.30,poly1(3).12.apr,4.33,,,17,poly1(3).12.apr.17
chironomus,11,chironomus.11,chiro(2).12.apr,5.61,,,9,chiro(2).12.apr.9
chironomus,12,chironomus.12,chiro(2).12.apr,4.32,,,9,chiro(2).12.apr.9
chironomus,13,chironomus.13,chiro(2).12.apr,6.42,,,11,chiro(2).12.apr.11
chironomus,14,chironomus.14,chiro(2).12.apr,4.87,,,11,chiro(2).12.apr.11
chironomus,15,chironomus.15,chiro(2).12.apr,3,,,12,chiro(2).12.apr.12
chironomus,16,chironomus.16,chiro(2).12.apr,4.94,,,9,chiro(2).12.apr.9
chironomus,17,chironomus.17,chiro(2).12.apr,6.75,,,9,chiro(2).12.apr.9
chironomus,18,chironomus.18,chiro(2).12.apr,3.08,,,13,chiro(2).12.apr.13
chironomus,19,chironomus.19,chiro(2).12.apr,6.93,,,13,chiro(2).12.apr.13
chironomus,20,chironomus.20,chiro(2).12.apr,3.34,,,12,chiro(2).12.apr.12
chironomus,21,chironomus.21,chiro(3).12.apr,6.67,,,15,chiro(3).12.apr.15
chironomus,22,chironomus.22,chiro(3).12.apr,5.24,,,15,chiro(3).12.apr.15
chironomus,23,chironomus.23,chiro(3).12.apr,3.82,,,18,chiro(3).12.apr.18
chironomus,24,chironomus.24,chiro(3).12.apr,3.39,,,16,chiro(3).12.apr.16
chironomus,25,chironomus.25,chiro(3).12.apr,2.67,,,17,chiro(3).12.apr.17
chironomus,26,chironomus.26,chiro(3).12.apr,5.64,,,16,chiro(3).12.apr.16
chironomus,27,chironomus.27,chiro(3).12.apr,5.4,,,16,chiro(3).12.apr.16
chironomus,28,chironomus.28,chiro(3).12.apr,6.55,,,14,chiro(3).12.apr.14
chironomus,29,chironomus.29,chiro(3).12.apr,3.27,,,14,chiro(3).12.apr.14
chironomus,30,chironomus.30,chiro(3).12.apr,6.71,,,14,chiro(3).12.apr.14
andromache,11,andromache.11,andro.12.apr,8.7,2.5,31-Mar-2012,26,andro.12.apr.26
andromache,12,andromache.12,andro.12.apr,6.68,3.19,31-Mar-2012,24,andro.12.apr.24
andromache,13,andromache.13,andro.12.apr,15.3,4.2,01-Apr-2012,25,andro.12.apr.25
andromache,14,andromache.14,andro.12.apr,12.06,3.09,01-Apr-2012,24,andro.12.apr.24
andromache,15,andromache.15,andro.12.apr,12.07,3.33,10-Feb-2012,25,andro.12.apr.25
andromache,16,andromache.16,andro.12.apr,8.58,2.98,10-Mar-2012,18,andro.12.apr.18
andromache,17,andromache.17,andro.12.apr,11.72,4.25, ,24,andro.12.apr.24
andromache,18,andromache.18,andro.12.apr,8.21,1.94,31-Mar-2012,25,andro.12.apr.25
tan,11,tan.11,tan.12.apr,8.16,2.8,16-Feb-2012,10,tan.12.apr.10
tan,12,tan.12,tan.12.apr,11.03,3.14,,10,tan.12.apr.10
tan,13,tan.13,tan.12.apr,13.06,3.01,,18,tan.12.apr.18
tan,14,tan.14,tan.12.apr,8.19,2.37,07-Mar-2012,10,tan.12.apr.10
tan,15,tan.15,tan.12.apr,13.54,2.65,,10,tan.12.apr.10
tan,16,tan.16,tan.12.apr,13.74,2.64,,10,tan.12.apr.10
tan,17,tan.17,tan.12.apr,14.52,2.88,,17,tan.12.apr.17
tan,18,tan.18,tan.12.apr,7.38,2.41,03-Mar-2012,16,tan.12.apr.16
tan,19,tan.19,tan.12.apr,13.12,2.56,10-Mar-2012,18,tan.12.apr.18
tan,20,tan.20,tan.12.apr,13.12,2.68,,13,tan.12.apr.13
andromache,19,andromache.19,andro.20.apr,10.4,4,14-Apr-2012,26,andro.20.apr.26
andromache,20,andromache.20,andro.20.apr,10.9,5.5,12-Apr-2012,24,andro.20.apr.24
